b'GDI32.dll',0x140026838,b'EndPage'
b'GDI32.dll',0x140026840,b'GetTextMetricsW'
b'GDI32.dll',0x140026848,b'SetBkMode'
b'GDI32.dll',0x140026850,b'LPtoDP'
b'GDI32.dll',0x140026858,b'SetWindowExtEx'
b'GDI32.dll',0x140026860,b'SetViewportExtEx'
b'GDI32.dll',0x140026868,b'SetMapMode'
b'GDI32.dll',0x140026870,b'GetTextExtentPoint32W'
b'GDI32.dll',0x140026878,b'TextOutW'
b'GDI32.dll',0x140026880,b'EnumFontsW'
b'GDI32.dll',0x140026888,b'GetTextFaceW'
b'GDI32.dll',0x140026890,b'SelectObject'
b'GDI32.dll',0x140026898,b'DeleteObject'
b'GDI32.dll',0x1400268a0,b'CreateFontIndirectW'
b'GDI32.dll',0x1400268a8,b'GetDeviceCaps'
b'USER32.dll',0x140026b50,b'PostMessageW'
b'USER32.dll',0x140026b58,b'MessageBoxW'
b'USER32.dll',0x140026b60,b'GetMenu'
b'USER32.dll',0x140026b68,b'CheckMenuItem'
b'USER32.dll',0x140026b70,b'GetSubMenu'
b'USER32.dll',0x140026b78,b'EnableMenuItem'
b'USER32.dll',0x140026b80,b'ShowWindow'
b'USER32.dll',0x140026b88,b'GetDC'
b'USER32.dll',0x140026b90,b'ReleaseDC'
b'USER32.dll',0x140026b98,b'SetCursor'
b'USER32.dll',0x140026ba0,b'GetDpiForWindow'
b'USER32.dll',0x140026ba8,b'SetActiveWindow'
b'USER32.dll',0x140026bb0,b'LoadStringW'
b'USER32.dll',0x140026bb8,b'DefWindowProcW'
b'USER32.dll',0x140026bc0,b'IsIconic'
b'USER32.dll',0x140026bc8,b'SetFocus'
b'USER32.dll',0x140026bd0,b'PostQuitMessage'
b'USER32.dll',0x140026bd8,b'DestroyWindow'
b'USER32.dll',0x140026be0,b'MessageBeep'
b'USER32.dll',0x140026be8,b'GetForegroundWindow'
b'USER32.dll',0x140026bf0,b'GetDlgCtrlID'
b'USER32.dll',0x140026bf8,b'SetWindowPos'
b'USER32.dll',0x140026c00,b'RedrawWindow'
b'USER32.dll',0x140026c08,b'GetKeyboardLayout'
b'USER32.dll',0x140026c10,b'CharNextW'
b'USER32.dll',0x140026c18,b'SetWinEventHook'
b'USER32.dll',0x140026c20,b'GetMessageW'
b'USER32.dll',0x140026c28,b'TranslateAcceleratorW'
b'USER32.dll',0x140026c30,b'IsDialogMessageW'
b'USER32.dll',0x140026c38,b'TranslateMessage'
b'USER32.dll',0x140026c40,b'DispatchMessageW'
b'USER32.dll',0x140026c48,b'UnhookWinEvent'
b'USER32.dll',0x140026c50,b'SetWindowTextW'
b'USER32.dll',0x140026c58,b'OpenClipboard'
b'USER32.dll',0x140026c60,b'IsClipboardFormatAvailable'
b'USER32.dll',0x140026c68,b'CloseClipboard'
b'USER32.dll',0x140026c70,b'SetDlgItemTextW'
b'USER32.dll',0x140026c78,b'GetDlgItemTextW'
b'USER32.dll',0x140026c80,b'EndDialog'
b'USER32.dll',0x140026c88,b'SendDlgItemMessageW'
b'USER32.dll',0x140026c90,b'SetScrollPos'
