b'RtlCaptureContext'
b'RtlRaiseException'
b'RtlUnwindEx'
b'RtlRestoreContext'
b'RtlLookupFunctionEntry'
b'RtlInstallFunctionTableCallback'
b'RtlCompareMemory'
b'RtlDeleteFunctionTable'
b'RtlAddFunctionTable'
b'RtlPcToFileHeader'
b'RtlUnwind'
b'RtlCaptureStackBackTrace'
b'RtlVirtualUnwind'
b'_wcslwr'
b'RtlGetUILanguageInfo'
b'EtwEventEnabled'
b'RtlpConvertLCIDsToCultureNames'
b'NtEnumerateKey'
b'RtlIntegerToUnicodeString'
b'RtlTimeToTimeFields'
b'RtlTimeFieldsToTime'
b'RtlUnhandledExceptionFilter'
b'NtTerminateProcess'
b'wcsncmp'
b'wcsncpy'
b'LdrFindResourceEx_U'
b'RtlReadThreadProfilingData'
b'RtlQueryThreadProfiling'
b'RtlDisableThreadProfiling'
b'RtlNtStatusToDosErrorNoTeb'
b'RtlEnableThreadProfiling'
b'NtMapUserPhysicalPagesScatter'
b'RtlUnicodeStringToInteger'
b'bsearch'
b'RtlComputeImportTableHash'
b'RtlFindActivationContextSectionGuid'
b'RtlQueryActivationContextApplicationSettings'
b'RtlSubAuthorityCountSid'
b'LdrResFindResourceDirectory'
b'RtlQueryInformationActivationContext'
b'TpQueryPoolStackInformation'
b'TpAllocPool'
b'TpSetPoolMinThreads'
b'TpSetPoolStackInformation'
b'TpAllocWait'
b'NtDeleteValueKey'
b'NtSetValueKey'
b'towlower'
b'RtlPublishWnfStateData'
b'NtQueryLicenseValue'
b'_wtol'
b'memmove_s'
b'RtlLCIDToCultureName'
b'RtlSizeHeap'
b'RtlpConvertCultureNamesToLCIDs'
b'NtQueryInstallUILanguage'
b'EtwEventUnregister'
b'EtwEventWrite'
b'EtwEventRegister'
b'RtlGUIDFromString'
b'sin'
b'RtlDecodeSystemPointer'
b'RtlSetThreadPreferredUILanguages'
b'RtlMultiAppendUnicodeStringBuffer'
b'swprintf_s'
b'RtlImageNtHeaderEx'
b'NtMapViewOfSection'
b'NtCreateSection'
b'RtlDosPathNameToNtPathName_U_WithStatus'
b'RtlGetActiveActivationContext'
b'RtlDeactivateActivationContext'
b'RtlActivateActivationContext'
b'RtlZombifyActivationContext'
b'RtlReleaseActivationContext'
b'RtlAddRefActivationContext'
b'RtlCreateActivationContext'
b'RtlGetLengthWithoutLastFullDosOrNtPathElement'
b'RtlpApplyLengthFunction'
b'RtlGetFullPathName_U'
b'RtlDoesFileExists_U'
b'RtlDetermineDosPathNameType_U'
b'RtlpEnsureBufferSize'
b'DbgPrintEx'
b'NtUnmapViewOfSection'
b'RtlQueryPackageClaims'
b'tolower'
b'atol'
b'toupper'
b'isdigit'
b'NtQueryInformationThread'
b'RtlEnterUmsSchedulingMode'
b'RtlCreateUmsThreadContext'
b'RtlDeleteUmsThreadContext'
b'TpAllocTimer'
b'RtlQueryUmsThreadInformation'
b'RtlGetNextUmsListItem'
b'RtlGetCurrentUmsThread'
b'RtlDeleteUmsCompletionList'
b'RtlUmsThreadYield'
b'RtlExecuteUmsThread'
b'RtlGetUmsCompletionListEvent'
b'RtlDequeueUmsCompletionListItems'
b'RtlSetLastWin32ErrorAndNtStatusFromNtStatus'
b'RtlCreateUmsCompletionList'
b'RtlDestroyEnvironment'
b'RtlCreateEnvironmentEx'
b'RtlCreateEnvironment'
b'NtQueryEvent'
b'RtlCreateUnicodeString'
b'NtRaiseHardError'
b'RtlFreeAnsiString'
b'RtlFreeOemString'
b'RtlGetCurrentDirectory_U'
b'wcsrchr'
b'_wcsnicmp'
b'RtlUnicodeStringToOemString'
b'NtQueryVolumeInformationFile'
b'CsrFreeCaptureBuffer'
b'CsrAllocateMessagePointer'
b'CsrAllocateCaptureBuffer'
b'RtlEqualUnicodeString'
b'RtlUnicodeStringToAnsiString'
b'RtlExitUserThread'
b'RtlAddIntegrityLabelToBoundaryDescriptor'
b'RtlQueryProtectedPolicy'
b'NtReplacePartitionUnit'
b'RtlCompareUnicodeString'
b'RtlExitUserProcess'
b'RtlInitUnicodeStringEx'
b'RtlQueryPackageIdentity'
b'EtwEventWriteNoRegistration'
b'RtlWow64LogMessageInEventLogger'
b'LdrUnloadDll'
b'LdrGetProcedureAddress'
b'LdrLoadDll'
b'RtlAppendUnicodeToString'
b'RtlAppendUnicodeStringToString'
b'RtlFormatCurrentUserKeyPath'
b'NtQueryValueKey'
b'RtlEqualSid'
b'RtlSubAuthoritySid'
b'RtlInitializeSid'
b'NtQueryInformationToken'
b'NtOpenProcessToken'
b'NtSetInformationThread'
b'NtOpenThreadToken'
b'RtlReleaseSRWLockExclusive'
b'RtlQueryRegistryValuesEx'
b'NtOpenKey'
b'RtlAcquireSRWLockExclusive'
b'RtlAnsiStringToUnicodeString'
b'RtlxAnsiStringToUnicodeSize'
b'RtlInitAnsiStringEx'
b'NtIsSystemResumeAutomatic'
b'NtInitiatePowerAction'
b'RtlIsNameLegalDOS8Dot3'
b'RtlGetCurrentProcessorNumberEx'
b'NtWaitForSingleObject'
b'NtCreateEvent'
b'RtlSetSearchPathMode'
b'LdrGetDllDirectory'
b'RtlUnlockHeap'
b'RtlGetUserInfoHeap'
b'RtlLockHeap'
b'RtlDeregisterSecureMemoryCacheCallback'
b'RtlRegisterSecureMemoryCacheCallback'
b'RtlCompactHeap'
b'NtFsControlFile'
b'NtOpenFile'
b'NtClose'
b'LdrAddRefDll'
b'NtQueryInformationFile'
b'NtSetInformationFile'
b'wcscpy_s'
b'RtlGetActiveConsoleId'
b'RtlDeactivateActivationContextUnsafeFast'
b'RtlActivateActivationContextUnsafeFast'
b'RtlNtStatusToDosError'
b'RtlFreeUnicodeString'
b'RtlWow64GetThreadSelectorEntry'
b'NtSetInformationDebugObject'
b'DbgUiGetThreadDebugObject'
b'DbgUiIssueRemoteBreakin'
b'NtSetSystemInformation'
b'NtQueryInformationProcess'
b'RtlSetCurrentTransaction'
b'RtlGetCurrentTransaction'
b'RtlSetLastWin32Error'
b'CsrClientCallServer'
b'LdrDisableThreadCalloutsForDll'
b'RtlExpandEnvironmentStrings_U'
b'TpAllocIoCompletion'
b'TpAllocWork'
b'TpCallbackMayRunLong'
b'TpAllocCleanupGroup'
b'RtlSetUmsThreadInformation'
b'TpSimpleTryPost'
b'CsrVerifyRegion'
b'RtlCharToInteger'
b'RtlInitAnsiString'
b'RtlUpcaseUnicodeChar'
b'RtlUnicodeToMultiByteSize'
b'RtlDestroyAtomTable'
b'NtFindAtom'
b'NtQueryInformationAtom'
b'RtlAddAtomToAtomTable'
b'NtAddAtomEx'
b'NtDeleteAtom'
b'RtlCreateAtomTable'
b'RtlDeleteAtomFromAtomTable'
b'RtlLookupAtomInAtomTable'
b'RtlQueryAtomInAtomTable'
b'RtlDnsHostNameToComputerName'
b'RtlPrefixString'
b'NtFlushKey'
b'_memicmp'
b'RtlxUnicodeStringToAnsiSize'
b'RtlEnterCriticalSection'
b'wcschr'
b'wcsstr'
b'RtlLeaveCriticalSection'
b'NtCreateKey'
b'NtCreateFile'
b'RtlCreateUnicodeStringFromAsciiz'
b'wcsncpy_s'
b'wcscspn'
